SpotApp table;SpotApp columns;SpotApp column datatype;SpotApp column description;SpotApp mandatory column
HUBSPOT_MARKETING_EMAIL;BOUNCE;INT64;This is to map the column BOUNCE;Yes
HUBSPOT_MARKETING_EMAIL;BOUNCE_RATIO;INT64;This describes the column BOUNCE_RATIO;Yes
HUBSPOT_MARKETING_EMAIL;CAMPAIGN_DATE;DATE;This describes the column CAMPAIGN_DATE;Yes
HUBSPOT_MARKETING_EMAIL;CAMPAIGN_ID;INT64;This describes the column CAMPAIGN_ID;Yes
HUBSPOT_MARKETING_EMAIL;CAMPAIGN_NAME;VARCHAR;This describes the column CAMPAIGN_NAME;Yes
HUBSPOT_MARKETING_EMAIL;CLICK;INT64;This describes the column CLICK;Yes
HUBSPOT_MARKETING_EMAIL;CLICK_RATIO;DOUBLE;This describes the column CLICK_RATIO;Yes
HUBSPOT_MARKETING_EMAIL;CLICK_THROUGH_RATIO;DOUBLE;This describes the column CLICK_THROUGH_RATIO;Yes
HUBSPOT_MARKETING_EMAIL;DATE_CAMPAIGN_SENT;DATE;This describes the column DATE_CAMPAIGN_SENT;Yes
HUBSPOT_MARKETING_EMAIL;DATE_CREATED;DATE_TIME;This describes the column DATE_CREATED;Yes
HUBSPOT_MARKETING_EMAIL;DELIVERED;INT64;This describes the column DELIVERED;Yes
HUBSPOT_MARKETING_EMAIL;EMAIL_SUBJECT;VARCHAR;This describes the column EMAIL_SUBJECT;Yes
HUBSPOT_MARKETING_EMAIL;EMAIL_URL;VARCHAR;This describes the column EMAIL_URL;Yes
HUBSPOT_MARKETING_EMAIL;OPEN;INT64;This describes the column OPEN;Yes
HUBSPOT_MARKETING_EMAIL;OPEN_RATIO;DOUBLE;This describes the column OPEN_RATIO;Yes
HUBSPOT_MARKETING_EMAIL;REPLY;INT64;This describes the column REPLY;Yes
HUBSPOT_MARKETING_EMAIL;SENT;INT64;This is to map the column SENT;Yes
HUBSPOT_MARKETING_EMAIL;UNSUBSCRIBED;INT64;This is to map the column UNSUBSCRIBED;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;BROWSER_NAME;VARCHAR;This describes the column BROWSER_NAME;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;CREATED_AT_DATE;DATE;This describes the column CREATED_AT_DATE;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;EMAIL_CAMPAIGN_ID;INT64;This column is required to join the cdw tables;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;ID;VARCHAR;This describes the column ID;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;LOCATION_CITY;VARCHAR;This describes the column LOCATION_CITY;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;LOCATION_COUNTRY;VARCHAR;This describes the column LOCATION_COUNTRY;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;LOCATION_STATE;VARCHAR;This describes the column LOCATION_STATE;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;RECIPIENT;VARCHAR;This describes the column RECIPIENT;Yes
HUBSPOT_MARKETING_EMAIL_EVENTS;TYPE;VARCHAR;This describes the column TYPE;Yes
